,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
0,0.0,Fri Jan 05 19:00:07 +0000 2018,1.0,0.0,0.0,1,@BBC,"What can men do about baldness?

#TrustMeImaDoctor https://t.co/8Mwoz5zKo0"
1,0.0,Fri Jan 05 18:33:04 +0000 2018,1.0,0.0,0.0,1,@BBC,? ??? What's in store for sport in 2018? Here are @BBCSport's predictions. ? ?https://t.co/w1wr6qo4zz https://t.co/0hDnn8bPPo
2,0.5859,Fri Jan 05 18:04:03 +0000 2018,0.787,0.0,0.213,1,@BBC,?? Not drinking alcohol this month? Here's how to win at Dry January. ? https://t.co/bxT4at1zWW https://t.co/OQhTq0aTpn
3,0.0,Fri Jan 05 17:30:03 +0000 2018,1.0,0.0,0.0,1,@BBC,???? @TaylorSwift13's Live Lounge cover of Riptide by @Vancejoy gives us goosebumps every ? single ? time ?. https://t.co/WtMSSS1uns
4,0.0,Fri Jan 05 17:02:05 +0000 2018,1.0,0.0,0.0,1,@BBC,When you realise you've made it through the first week back at work... #FridayFeeling ? ?? https://t.co/6hMgSGIybq
5,0.0,Fri Jan 05 15:27:42 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @BBCOne: So, what exactly is #HardSun? ? We'll let the cast and creator of the new drama do the explaining. 

Starts Saturday 6th Januar…"
6,0.0,Fri Jan 05 14:33:07 +0000 2018,1.0,0.0,0.0,1,@BBC,?? An estimated 2.5 billion disposable coffee cups are thrown away every year in the UK. Here are four ways we coul… https://t.co/vbD9THa8mC
7,-0.2732,Fri Jan 05 14:23:24 +0000 2018,0.684,0.198,0.118,1,@BBC,"RT @bbcthree: In 2012, Naomi was the victim of an acid attack carried out by one of her oldest friends. https://t.co/TO8T2go4zq"
8,0.4939,Fri Jan 05 14:00:06 +0000 2018,0.824,0.0,0.176,1,@BBC,"How do you keep your New Year's resolution to save cash? ?
This way, honest... https://t.co/vtkNULVdVW https://t.co/8UciSw865E"
9,0.0,Fri Jan 05 13:33:12 +0000 2018,1.0,0.0,0.0,1,@BBC,Here's how the weather has looked around the world recently. ? ? ? https://t.co/TTYG5JmFJ1 https://t.co/qsRXK9ocgZ
10,0.0,Fri Jan 05 13:03:03 +0000 2018,1.0,0.0,0.0,1,@BBC,New scanning technique reveals secret writing on the papyrus that mummy cases are made from. https://t.co/P3wzAgObHX https://t.co/2DsrzLfTdt
11,-0.4767,Fri Jan 05 12:30:05 +0000 2018,0.744,0.256,0.0,1,@BBC,"When Zac Efron made Michael Jackson cry. ????
#TheGNShow https://t.co/GpSaONsWMG"
12,0.0,Fri Jan 05 12:02:03 +0000 2018,1.0,0.0,0.0,1,@BBC,People commonly believe they shouldn't drink on antibiotics. But the story isn't quite that simple. ??… https://t.co/3xEujlZozj
13,0.0,Fri Jan 05 11:33:04 +0000 2018,1.0,0.0,0.0,1,@BBC,"? @JTimberlake has dropped his new track #Filthy! 
Here's everything we know so far about his comeback. ?… https://t.co/67mmIn0j1s"
14,-0.2023,Fri Jan 05 11:00:07 +0000 2018,0.726,0.154,0.12,1,@BBC,???? MPs are calling for a 25p #LatteLevy on disposable coffee cups - and a total ban unless recycling improves. Wh… https://t.co/ii2sTS0zJz
15,0.0,Fri Jan 05 10:27:02 +0000 2018,1.0,0.0,0.0,1,@BBC,"This #NationalBirdDay, immerse yourself in the British countryside with four minutes of uninterrupted footage from… https://t.co/8rGItvhENP"
16,-0.296,Fri Jan 05 09:00:04 +0000 2018,0.82,0.18,0.0,1,@BBC,Trying to stop suicides in Aokigahara forest in Japan. https://t.co/vMts4cvDWh https://t.co/WthsIMR0OY
17,0.0,Fri Jan 05 08:51:15 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @BBCWorld: A celebration of black female photography https://t.co/D0GOq2Ekh3
18,0.0,Fri Jan 05 08:50:54 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @BBCNews: First openly transgender woman in British Vogue https://t.co/mFt1oG38ok
19,-0.2732,Fri Jan 05 08:47:27 +0000 2018,0.9,0.1,0.0,1,@BBC,RT @BBCScotlandNews: Meet the electric skateboarders who can cut through traffic at 25mph. Another step closer to Marty McFly’s hoverboard……
