,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
0,0.8313,Wed Jan 03 14:00:15 +0000 2018,0.698,0.0,0.302,1,@BBC,"From mystical tors to magnificent structures, here are some of the most remarkable sacred sites in the UK. ?… https://t.co/G65X5xs8XA"
1,0.0,Wed Jan 03 13:41:47 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @bbcthree: Beyonce, Eminem and The Weeknd to headline this year's Coachella https://t.co/Id53YSs8hi https://t.co/FXriYoTKpi"
2,0.0,Wed Jan 03 13:30:04 +0000 2018,1.0,0.0,0.0,1,@BBC,"Limit children's snacks to 100 calories, health body says. ?? https://t.co/KTW5vkMoj0 https://t.co/t6xvL4aUUJ"
3,0.0,Wed Jan 03 13:13:52 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @BBCWalesNews: ? #StormEleanor has been battering the Welsh coast - watch its winds and waves here: https://t.co/Uz65gM3Hgr
4,-0.6124,Wed Jan 03 13:13:20 +0000 2018,0.722,0.278,0.0,1,@BBC,RT @bbcthree: It's now illegal to pay women less than men in Iceland https://t.co/nLFkPwoeHF https://t.co/GE6nuJQZEE
5,0.4019,Wed Jan 03 13:13:11 +0000 2018,0.886,0.0,0.114,1,@BBC,"RT @CBeebiesHQ: Look who's here ?

Keep your ‘Nocturnal Animals' entertained with Isla Fisher's Bedtime Story ??

She reads ‘A Big Day for…"
6,0.0,Wed Jan 03 13:02:51 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @bbcdoctorwho: When you realise it's been nine years since Matt Smith was announced as the Eleventh Doctor…
#WhereHasTheTimeGone #Doctor…"
7,0.0,Wed Jan 03 13:00:10 +0000 2018,1.0,0.0,0.0,1,@BBC,A woman who thought for years she had Crohn's disease was found to have pieces of a sauce sachet in her intestine.… https://t.co/fh740RQ6W6
8,0.0,Wed Jan 03 12:30:06 +0000 2018,1.0,0.0,0.0,1,@BBC,Think it's cold where you are? Find out how people in the Russian far east cope with living in -50 Celsius. ?? https://t.co/YIgVe77Zey
9,0.6908,Wed Jan 03 12:00:06 +0000 2018,0.695,0.0,0.305,1,@BBC,"'Be the biggest, baddest, boldest, booming-est.' ~ @NickiMinaj

Heartwarming NY resolutions from musicians to inspi… https://t.co/RoZYPMjSEW"
10,0.0,Wed Jan 03 11:15:06 +0000 2018,1.0,0.0,0.0,1,@BBC,Thousands of homes are without power and travel has been disrupted after #StormEleanor swept across the UK.… https://t.co/wpGfGFCiJ0
11,0.0,Wed Jan 03 09:00:05 +0000 2018,1.0,0.0,0.0,1,@BBC,"From travelling on a shoestring to upping your networking game, here are five life hacks to make 2018 count. ?… https://t.co/2b05jzGHCS"
12,0.128,Wed Jan 03 08:44:51 +0000 2018,0.831,0.076,0.093,1,@BBC,"RT @BBCNews: Victims of people trafficking are in every town and city in the UK.

What is the true scale of the global trade in humans? #Mc…"
13,-0.5362,Wed Jan 03 08:44:42 +0000 2018,0.802,0.198,0.0,1,@BBC,RT @BBCTwo: Settle a bet: who's worse? iPhone users or Android users? @RomeshRanga ?? #IrrationalLive https://t.co/5oZ4hZA1b1
14,0.0,Wed Jan 03 08:44:35 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @BBCEarth: Some animals can survive being frozen 
https://t.co/LCRlBx2MMc"
15,0.0,Wed Jan 03 08:43:40 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @BBCNewsround: Why do storms have names, and who decides what to call them? ??? Check out our handy guide here... https://t.co/5k2rhNBnb…"
16,0.0,Wed Jan 03 08:41:47 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @BBCNews: Each of us streamed 1,036 songs last year (and most of them were by Ed Sheeran) https://t.co/5b0Tj7FXi4"
17,0.5106,Wed Jan 03 08:40:01 +0000 2018,0.82,0.0,0.18,1,@BBC,Can you cook a nutritious meal for £1? This free cookery class is teaching people how. ? https://t.co/6vmreDDxHH
18,0.296,Wed Jan 03 08:38:03 +0000 2018,0.896,0.0,0.104,1,@BBC,"RT @bbcpress: ? HM The Queen shares her memories of her 1953 Coronation in a new documentary film @BBCOne - https://t.co/Cm85Dr7Lu1
Part of…"
19,-0.886,Wed Jan 03 08:20:03 +0000 2018,0.598,0.402,0.0,1,@BBC,"Kill the pedestrian or kill the passenger? ?

The moral dilemmas facing a future with driverless cars.… https://t.co/IChbzGmqeJ"
